x,y,set,pval
46,9,{13},0.21283402066248946
43,39,{9},0.5959884889842133
34,45,"{38, 39}",0.8421536744869398
45,14,{24},0.1689059908392132
22,24,{14},0.28220985998443293
13,48,{38},0.3828130516878534
10,46,"{44, 30, 47}",0.3724580297193114
13,48,{38},0.3828130516878534
3,48,{38},0.8598168759796967
13,46,"{44, 30, 47}",0.5570650428516244
47,13,{23},0.15608869484220045
22,39,{14},0.391019430321196
25,38,{23},0.8993111266893301
48,13,{38},0.3828130516878534
24,22,{14},0.28220985998443293
34,38,{23},0.5391705083672149
34,9,{13},0.7723182602619505
2,45,"{38, 39}",0.0033274795053785944
42,45,{17},0.36078184567260996
20,48,{38},0.12437380901647144
48,43,{38},0.9134445357126422
28,46,"{44, 30, 47}",0.7591709653352128
40,45,{22},0.38298791070634985
9,38,{13},0.6459655086664675
42,45,{17},0.36078184567260996
44,47,"{34, 10, 46, 14, 31}",0.6145100396155241
45,34,"{38, 39}",0.8421536744869391
47,18,"{28, 30}",0.12300001375521186
43,39,{9},0.5959884889842133
47,9,{13},0.3274549917607392
39,4,{12},0.34501458972005183
25,13,{23},0.15877079097307067
13,45,"{38, 39}",0.6348261394576129
37,13,{9},0.6038570259723974
25,43,{23},0.0022844316200716364
17,45,"{38, 39}",0.7078588693318522
38,2,{9},0.43835098889886304
47,21,{23},0.7127050244239406
25,45,"{38, 39}",0.11157605385025304
46,38,"{44, 30, 47}",0.07147057415280966
45,48,{38},0.29951809932084394
9,45,"{38, 39}",0.9808767699562579
46,41,{28},0.6930610539297319
9,25,{23},0.0023053001362436376
46,28,"{44, 30, 47}",0.7591709653352161
48,43,{38},0.9134445357126422
45,46,"{38, 39}",0.6109339252943684
4,39,{12},0.34501458972005183
46,38,"{44, 30, 47}",0.07147057415280966
39,13,"{9, 23}",0.4629468336398064
45,33,{21},0.3190684800671466
2,38,{9},0.43835098889886304
4,45,{12},0.0007024114937272952
9,48,{38},0.1833287735646454
42,37,{17},0.020518302233444752
21,47,{23},0.7127050244239406
22,46,{14},0.3579199638936932
45,24,"{38, 39}",0.918764783182739
2,25,{9},0.3765827760091316
37,34,{23},0.39938422776489135
26,45,"{38, 39}",0.964170939000619
45,23,"{38, 39}",0.7625459597713464
43,38,{9},0.30230466663923794
9,34,{23},0.8193503031429474
48,3,{38},0.8598168759796967
39,30,{28},0.010945107456092451
45,42,{17},0.36078184567260996
47,24,{14},0.008419620490465185
45,5,{24},0.9364362111748088
46,4,{12},7.669608074190037e-06
30,47,"{34, 10, 46, 14, 31}",0.5501282215860683
33,45,"{38, 39}",0.0604783990526474
30,39,{28},0.010945107456092451
25,39,{23},0.28582662462482133
21,25,{23},0.5731168719872055
13,39,"{9, 23}",0.4629468336398126
43,38,{9},0.30230466663923794
47,25,{23},0.6634368264532249
39,43,{9},0.5959884889842133
20,47,"{28, 30}",0.2927419709880119
46,10,"{44, 30, 47}",0.37245802971930986
17,45,"{38, 39}",0.7078588693318522
25,47,{23},0.6634368264532249
25,34,{23},0.9235456574698622
42,39,{17},0.6905196476658835
42,37,{17},0.020518302233444752
31,46,"{44, 30, 47}",0.07986972715712382
31,46,"{44, 30, 47}",0.07986972715712382
25,34,{23},0.9235456574698622
46,10,"{44, 30, 47}",0.37245802971930986
37,25,{23},0.29363127076661444
45,17,"{2, 37}",0.2732605008928206
23,39,"{34, 37}",0.6737702876916434
37,46,{2},0.6909356399768305
25,39,{23},0.28582662462482133
34,30,{28},0.9715821759707919
47,4,{12},0.23750212820592842
4,28,{12},2.0551933845869286e-06
13,39,"{9, 23}",0.4629468336398126
37,45,"{38, 39}",2.220446049250313e-16
39,17,"{2, 37}",0.2107149571248077
47,9,{13},0.3274549917607392
2,39,"{9, 37}",0.06315848411503633
38,25,{23},0.8993111266893301
43,39,{9},0.5959884889842133
45,28,"{38, 39}",0.8770300294257218
20,48,{38},0.12437380901647144
23,47,"{34, 28}",0.266016656129878
33,45,"{38, 39}",0.0604783990526474
48,37,{38},0.8000060042744539
25,39,{23},0.28582662462482133
46,43,{9},0.5401986924175293
4,30,{12},0.193187686797764
43,25,{23},0.0022844316200716364
10,46,"{44, 30, 47}",0.3724580297193114
4,45,{12},0.0007024114937272952
42,39,{17},0.6905196476658835
25,33,{21},0.21469814145934096
48,25,{38},0.06390111613297011
46,4,{12},7.669608074190037e-06
37,46,{2},0.6909356399768305
46,13,{23},0.6426572226016947
37,23,{13},0.4973158213975788
17,45,"{38, 39}",0.7078588693318522
45,13,"{38, 39}",0.6348261394576191
25,34,{23},0.9235456574698622
39,38,{13},0.11642835100546933
46,14,"{44, 30, 47}",0.37149062916846387
47,38,"{20, 13}",0.9952549285561658
41,47,{28},0.5618781181294614
43,37,{2},0.352798325878547
25,46,{23},0.5193865962788455
43,48,{38},0.9134445357126422
40,39,{22},0.2718593990233198
47,21,{23},0.7127050244239406
39,14,{24},0.5409273841956719
2,25,{9},0.3765827760091316
22,45,{14},0.274586662243943
26,48,{38},0.16083116826135324
41,43,{6},0.8861799683036156
39,43,{9},0.5959884889842133
46,23,"{44, 30, 47}",0.961653743226194
39,28,"{34, 23}",0.6065212517246867
46,24,{14},0.7520512386974993
25,21,{23},0.5731168719872055
12,47,{28},0.0
4,46,{12},7.669608074190037e-06
36,45,"{38, 39}",0.8431640338047739
46,29,{10},0.9521593981840828
38,46,"{44, 30, 47}",0.0714705741528101
46,28,"{44, 30, 47}",0.7591709653352161
33,39,{21},0.9808634814250294
37,25,{23},0.29363127076661444
23,38,{13},0.44158943126260475
38,39,"{34, 37}",0.09214596200414782
45,24,"{38, 39}",0.918764783182739
43,25,{23},0.0022844316200716364
28,39,"{34, 23}",0.606521251724689
46,25,{23},0.5193865962788455
39,5,{24},0.02932383713496267
39,9,"{2, 13}",0.6144812773711505
12,41,{28},0.9019800092876362
28,45,"{38, 39}",0.8770300294257343
38,43,{9},0.30230466663923794
48,34,{38},0.37216264698042556
34,38,{23},0.5391705083672149
41,12,{28},0.9019800092876362
20,45,"{38, 39}",0.7510677352227377
43,39,{9},0.5959884889842133
39,13,"{9, 23}",0.4629468336398064
17,39,"{2, 37}",0.21071495712479993
46,28,"{44, 30, 47}",0.7591709653352161
25,37,{2},0.4263430430226993
45,30,"{38, 39}",0.9655768572555292
30,39,{28},0.010945107456092451
20,45,"{38, 39}",0.7510677352227377
17,45,"{38, 39}",0.7078588693318522
13,45,"{38, 39}",0.6348261394576129
41,30,{28},0.2540858470192622
39,23,"{34, 13}",0.7158231825999901
47,2,{9},0.2082476661021091
39,5,{24},0.02932383713496267
34,2,{9},0.13925644688278194
25,43,{23},0.0022844316200716364
38,2,{9},0.43835098889886304
42,39,{17},0.6905196476658835
25,9,{13},0.002774612680335853
45,42,{17},0.36078184567260996
30,41,{28},0.2540858470192622
28,46,"{44, 30, 47}",0.7591709653352128
47,24,{14},0.008419620490465185
33,34,{23},0.6384581500140816
22,39,{14},0.391019430321196
13,37,{9},0.6038570259723974
43,37,{2},0.352798325878547
9,34,{23},0.8193503031429474
45,30,"{38, 39}",0.9655768572555292
28,47,"{34, 10, 46, 14, 31}",0.00037885434925710726
9,38,{13},0.6459655086664675
46,45,"{38, 39}",0.6109339252943684
45,37,"{38, 39}",2.220446049250313e-16
14,40,{22},0.6834510305498527
34,48,{38},0.37216264698042556
42,39,{17},0.6905196476658835
46,13,{23},0.6426572226016947
10,46,"{44, 30, 47}",0.3724580297193114
47,40,{22},0.0
44,47,"{34, 10, 46, 14, 31}",0.6145100396155241
34,9,{13},0.7723182602619505
39,23,"{34, 13}",0.7158231825999901
30,12,{28},0.08079601932710445
40,24,{22},2.4226646178071576e-07
23,39,"{34, 37}",0.6737702876916434
12,46,{28},0.9947493885785552
45,34,"{38, 39}",0.8421536744869391
34,45,"{38, 39}",0.8421536744869398
39,21,"{13, 23}",0.8999195460234477
38,23,{13},0.44158943126260475
24,46,{14},0.7520512386974993
39,40,{22},0.2718593990233198
45,14,{24},0.1689059908392132
9,23,{13},0.3715190695113306
45,2,"{38, 39}",0.0033274795053785944
43,47,{9},0.8903847160852909
9,46,{13},0.21283402066248946
38,30,{20},0.1611045619508591
48,46,{38},0.5567446106509264
41,34,{28},0.8707156162173808
46,41,{28},0.6930610539297319
45,33,{21},0.3190684800671466
34,9,{13},0.7723182602619505
23,2,{9},0.45319269940644813
45,43,"{38, 39}",0.06492668128261103
33,25,{23},0.24163962269379602
25,38,{23},0.8993111266893301
45,4,{12},0.0007024114937272952
22,47,{14},0.8221399628285464
30,34,{28},0.9715821759707919
31,46,"{44, 30, 47}",0.07986972715712382
21,46,{23},0.7665882456215194
26,45,"{38, 39}",0.964170939000619
2,47,{9},0.2082476661021091
25,38,{23},0.8993111266893301
47,30,"{34, 10, 46, 14, 31}",0.5501282215860666
30,12,{28},0.08079601932710445
9,48,{38},0.1833287735646454
39,14,{24},0.5409273841956719
38,9,{13},0.6459655086664675
45,24,"{38, 39}",0.918764783182739
45,20,"{38, 39}",0.7510677352227388
28,47,"{34, 10, 46, 14, 31}",0.00037885434925710726
39,13,"{9, 23}",0.4629468336398064
23,46,"{44, 30, 47}",0.9616537432261929
34,13,{23},0.905919337022224
38,47,"{20, 13}",0.9952549285561585
47,29,{10},0.8807644532960397
34,43,{23},0.08687825872582233
34,33,{21},0.7711383913233703
2,46,{9},0.07369033684533344
13,39,"{9, 23}",0.4629468336398126
12,39,{28},0.38697082820875073
4,28,{12},2.0551933845869286e-06
38,34,{23},0.5391705083672149
20,45,"{38, 39}",0.7510677352227377
45,24,"{38, 39}",0.918764783182739
33,23,{21},0.8121207170630542
26,48,{38},0.16083116826135324
48,25,{38},0.06390111613297011
42,45,{17},0.36078184567260996
43,37,{2},0.352798325878547
25,47,{23},0.6634368264532249
47,39,"{24, 34, 37}",0.14249874495603576
43,2,{9},0.024257921317393016
12,45,"{38, 39}",0.4772827424908743
47,29,{10},0.8807644532960397
25,47,{23},0.6634368264532249
45,4,{12},0.0007024114937272952
20,47,"{28, 30}",0.2927419709880119
46,12,{28},0.9947493885785552
42,45,{17},0.36078184567260996
25,38,{23},0.8993111266893301
25,2,{9},0.3765827760091316
45,34,"{38, 39}",0.8421536744869391
39,14,{24},0.5409273841956719
38,39,"{34, 37}",0.09214596200414782
39,2,"{9, 37}",0.063158484115037
40,39,{22},0.2718593990233198
41,30,{28},0.2540858470192622
45,25,{23},0.09857201036411678
46,18,"{28, 30}",0.6188204349569713
20,47,"{28, 30}",0.2927419709880119
40,46,{22},0.9552059470954302
21,34,{23},0.21733097964029735
23,43,{13},0.38566629094573734
20,48,{38},0.12437380901647144
12,41,{28},0.9019800092876362
25,46,{23},0.5193865962788455
39,42,{17},0.6905196476658835
43,46,"{44, 30, 47}",0.6136332666980993
46,14,"{44, 30, 47}",0.37149062916846387
46,24,{14},0.7520512386974993
47,9,{13},0.3274549917607392
46,20,"{28, 30}",0.28320128111803866
39,23,"{34, 13}",0.7158231825999901
46,24,{14},0.7520512386974993
34,4,{12},0.29636947397228885
39,46,"{44, 30, 47}",0.7639103926632591
46,18,"{28, 30}",0.6188204349569713
9,23,{13},0.3715190695113306
45,34,"{38, 39}",0.8421536744869391
23,43,{13},0.38566629094573734
39,2,"{9, 37}",0.063158484115037
46,43,{9},0.5401986924175293
45,13,"{38, 39}",0.6348261394576191
40,39,{22},0.2718593990233198
24,45,"{38, 39}",0.9187647831827452
33,25,{23},0.24163962269379602
39,40,{22},0.2718593990233198
34,46,"{44, 30, 47}",0.43478618016933623
34,37,{2},0.6697001867884376
23,2,{9},0.45319269940644813
33,23,{21},0.8121207170630542
4,47,{12},0.23750212820592842
9,48,{38},0.1833287735646454
45,21,"{13, 23}",3.2294722451808866e-10
47,20,"{28, 30}",0.2927419709880108
34,37,{2},0.6697001867884376
44,47,"{34, 10, 46, 14, 31}",0.6145100396155241
2,38,{9},0.43835098889886304
33,25,{23},0.24163962269379602
4,46,{12},7.669608074190037e-06
23,47,"{34, 28}",0.266016656129878
39,41,{28},0.16548554198035204
46,13,{23},0.6426572226016947
23,9,{13},0.3715190695113306
13,46,"{44, 30, 47}",0.5570650428516244
46,29,{10},0.9521593981840828
37,48,{38},0.8000060042744539
