"x","y","set","pval"
46,9,13,0.208525757966595
43,39,9,0.592306424603959
34,45,c(38, 39),0.840172428523709
45,14,24,0.164960847923323
22,24,14,0.277588438879325
13,48,38,0.378155451845155
10,46,c(44, 30, 47),0.36532960221967
13,48,38,0.378155451845155
3,48,38,0.858410477374907
13,46,c(44, 30, 47),0.551088670657341
47,13,23,0.152279259258741
22,39,14,0.38637621305164
25,38,23,0.898295093720088
48,13,38,0.378155451845155
24,22,14,0.277588438879325
34,38,23,0.535124297463953
34,9,13,0.770079412993144
2,45,c(38, 39),0.00305348780544301
42,45,17,0.356097374952619
20,48,38,0.120969221056735
48,43,38,0.9125697228579
28,46,c(44, 30, 47),0.755601648330454
40,45,22,0.37833059319579
9,38,13,0.642650366624813
42,45,17,0.356097374952619
44,47,c(34, 10, 46, 14, 31),0.607269366437938
45,34,c(38, 39),0.840172428523709
47,18,c(28, 30),0.11867308740383
43,39,9,0.592306424603959
47,9,13,0.322764900750816
39,4,12,0.340321966590734
25,13,23,0.154931725971807
13,45,c(38, 39),0.630552607351365
37,13,9,0.600230044218837
25,43,23,0.00214467499777993
17,45,c(38, 39),0.704328236509826
38,2,9,0.433833207079717
47,21,23,0.709935597583652
25,45,c(38, 39),0.10746755709133
46,38,c(44, 30, 47),0.0676107485188554
45,48,38,0.294859216798636
9,45,c(38, 39),0.980633204411463
46,41,28,0.690125137075272
9,25,23,0.00216433893447687
46,28,c(44, 30, 47),0.755601648330454
48,43,38,0.9125697228579
45,46,c(38, 39),0.606437823180657
4,39,12,0.340321966590734
46,38,c(44, 30, 47),0.0676107485188554
39,13,c(9, 23),0.457371005085238
45,33,21,0.314384138346962
2,38,9,0.433833207079717
4,45,12,0.000657908571867871
9,48,38,0.179247883458697
42,37,17,0.0195462653700224
21,47,23,0.709935597583652
22,46,14,0.353233306871368
45,24,c(38, 39),0.91773391423569
2,25,9,0.371915813509443
37,34,23,0.394758008523808
26,45,c(38, 39),0.963714843517322
45,23,c(38, 39),0.759622679987023
43,38,9,0.297641091008079
9,34,23,0.817552367818328
48,3,38,0.858410477374907
39,30,28,0.0103695507950797
45,42,17,0.356097374952619
47,24,14,0.00796102325987624
45,5,24,0.935792438041919
46,4,12,7.39392187198984e-06
30,47,c(34, 10, 46, 14, 31),0.541997083355025
33,45,c(38, 39),0.0576495425239243
30,39,28,0.0103695507950797
25,39,23,0.281196166374291
21,25,23,0.569280884198882
13,39,c(9, 23),0.457371005085238
43,38,9,0.297641091008079
47,25,23,0.660258879724197
39,43,9,0.592306424603959
20,47,c(28, 30),0.286864390334605
46,10,c(44, 30, 47),0.36532960221967
17,45,c(38, 39),0.704328236509826
25,47,23,0.660258879724197
25,34,23,0.922772169121686
42,39,17,0.687562528781689
42,37,17,0.0195462653700224
31,46,c(44, 30, 47),0.0757353204058984
31,46,c(44, 30, 47),0.0757353204058984
25,34,23,0.922772169121686
46,10,c(44, 30, 47),0.36532960221967
37,25,23,0.288983504614635
45,17,c(2, 37),0.267441597265776
23,39,c(34, 37),0.66988204379602
37,46,2,0.687981986124413
25,39,23,0.281196166374291
34,30,28,0.971293802119779
47,4,12,0.23304988614206
4,28,12,2.02104998014985e-06
13,39,c(9, 23),0.457371005085238
37,45,c(38, 39),3.33066907387547e-16
39,17,c(2, 37),0.205262757521881
47,9,13,0.322764900750816
2,39,c(9, 37),0.0602472893096984
38,25,23,0.898295093720088
43,39,9,0.592306424603959
45,28,c(38, 39),0.875477434375528
20,48,38,0.120969221056735
23,47,c(34, 28),0.26022576562536
33,45,c(38, 39),0.0576495425239243
48,37,38,0.798024665817381
25,39,23,0.281196166374291
46,43,9,0.536158509021851
4,30,12,0.189023627507545
43,25,23,0.00214467499777993
10,46,c(44, 30, 47),0.36532960221967
4,45,12,0.000657908571867871
42,39,17,0.687562528781689
25,33,21,0.21037760715972
48,25,38,0.0616284937837749
46,4,12,7.39392187198984e-06
37,46,2,0.687981986124413
46,13,23,0.639316594243223
37,23,13,0.493043803099114
17,45,c(38, 39),0.704328236509826
45,13,c(38, 39),0.630552607351365
25,34,23,0.922772169121686
39,38,13,0.11314256943782
46,14,c(44, 30, 47),0.364360110894945
47,38,c(20, 13),0.995194480148767
41,47,28,0.557970028178382
43,37,2,0.348108531291595
25,46,23,0.515228786232624
43,48,38,0.9125697228579
40,39,22,0.267267503202514
47,21,23,0.709935597583652
39,14,24,0.53689148590336
2,25,9,0.371915813509443
22,45,14,0.26998645192818
26,48,38,0.15696979217428
41,43,6,0.885033390200887
39,43,9,0.592306424603959
46,23,c(44, 30, 47),0.961065777629819
39,28,c(34, 23),0.601985284252215
46,24,14,0.749628080186585
25,21,23,0.569280884198882
12,47,28,0
4,46,12,7.39392187198984e-06
36,45,c(38, 39),0.841195091489057
46,29,10,0.95167435957525
38,46,c(44, 30, 47),0.0676107485188554
46,28,c(44, 30, 47),0.755601648330454
33,39,21,0.98066923962195
37,25,23,0.288983504614635
23,38,13,0.437082711679647
38,39,c(34, 37),0.0884596832750509
45,24,c(38, 39),0.91773391423569
43,25,23,0.00214467499777993
28,39,c(34, 23),0.601985284252215
46,25,23,0.515228786232624
39,5,24,0.0280341006588191
39,9,c(2, 13),0.610017510241519
12,41,28,0.900990590184296
28,45,c(38, 39),0.875477434375528
38,43,9,0.297641091008079
48,34,38,0.367489874436006
34,38,23,0.535124297463953
41,12,28,0.900990590184296
20,45,c(38, 39),0.74801389713577
43,39,9,0.592306424603959
39,13,c(9, 23),0.457371005085238
17,39,c(2, 37),0.205262757521881
46,28,c(44, 30, 47),0.755601648330454
25,37,2,0.421786908322834
45,30,c(38, 39),0.965138633336865
30,39,28,0.0103695507950797
20,45,c(38, 39),0.74801389713577
17,45,c(38, 39),0.704328236509826
13,45,c(38, 39),0.630552607351365
41,30,28,0.249557882830737
39,23,c(34, 13),0.712378569379707
47,2,9,0.203970610367906
39,5,24,0.0280341006588191
34,2,9,0.13564880981433
25,43,23,0.00214467499777993
38,2,9,0.433833207079717
42,39,17,0.687562528781689
25,9,13,0.00260685586395182
45,42,17,0.356097374952619
30,41,28,0.249557882830737
28,46,c(44, 30, 47),0.755601648330454
47,24,14,0.00796102325987624
33,34,23,0.635085405462126
22,39,14,0.38637621305164
13,37,9,0.600230044218837
43,37,2,0.348108531291595
9,34,23,0.817552367818328
45,30,c(38, 39),0.965138633336865
28,47,c(34, 10, 46, 14, 31),0.000308467542557533
9,38,13,0.642650366624813
46,45,c(38, 39),0.606437823180657
45,37,c(38, 39),3.33066907387547e-16
14,40,22,0.680435362834961
34,48,38,0.367489874436006
42,39,17,0.687562528781689
46,13,23,0.639316594243223
10,46,c(44, 30, 47),0.36532960221967
47,40,22,0
44,47,c(34, 10, 46, 14, 31),0.607269366437938
34,9,13,0.770079412993144
39,23,c(34, 13),0.712378569379707
30,12,28,0.0781479359837974
40,24,22,2.4877389392941e-07
23,39,c(34, 37),0.66988204379602
12,46,28,0.994696082390542
45,34,c(38, 39),0.840172428523709
34,45,c(38, 39),0.840172428523709
39,21,c(13, 23),0.898652101577066
38,23,13,0.437082711679647
24,46,14,0.749628080186585
39,40,22,0.267267503202514
45,14,24,0.164960847923323
9,23,13,0.366845509387496
45,2,c(38, 39),0.00305348780544301
43,47,9,0.889279865374015
9,46,13,0.208525757966595
38,30,20,0.157240254469902
48,46,38,0.552804395218337
41,34,28,0.869416231568747
46,41,28,0.690125137075272
45,33,21,0.314384138346962
34,9,13,0.770079412993144
23,2,9,0.448728050596873
45,43,c(38, 39),0.0619622750228422
33,25,23,0.237166971387151
25,38,23,0.898295093720088
45,4,12,0.000657908571867871
22,47,14,0.820368692472423
30,34,28,0.971293802119779
31,46,c(44, 30, 47),0.0757353204058984
21,46,23,0.764296910898685
26,45,c(38, 39),0.963714843517322
2,47,9,0.203970610367906
25,38,23,0.898295093720088
47,30,c(34, 10, 46, 14, 31),0.541997083355025
30,12,28,0.0781479359837974
9,48,38,0.179247883458697
39,14,24,0.53689148590336
38,9,13,0.642650366624813
45,24,c(38, 39),0.91773391423569
45,20,c(38, 39),0.74801389713577
28,47,c(34, 10, 46, 14, 31),0.000308467542557533
39,13,c(9, 23),0.457371005085238
23,46,c(44, 30, 47),0.961065777629819
34,13,23,0.904969247236551
38,47,c(20, 13),0.995194480148767
47,29,10,0.879564242000134
34,43,23,0.0841077224364823
34,33,21,0.768888712718448
2,46,9,0.0711935041637209
13,39,c(9, 23),0.457371005085238
12,39,28,0.382320227431716
4,28,12,2.02104998014985e-06
38,34,23,0.535124297463953
20,45,c(38, 39),0.74801389713577
45,24,c(38, 39),0.91773391423569
33,23,21,0.810253925519345
26,48,38,0.15696979217428
48,25,38,0.0616284937837749
42,45,17,0.356097374952619
43,37,2,0.348108531291595
25,47,23,0.660258879724197
47,39,c(24, 34, 37),0.136834573004835
43,2,9,0.0231463770033178
12,45,c(38, 39),0.471784829520282
47,29,10,0.879564242000134
25,47,23,0.660258879724197
45,4,12,0.000657908571867871
20,47,c(28, 30),0.286864390334605
46,12,28,0.994696082390542
42,45,17,0.356097374952619
25,38,23,0.898295093720088
25,2,9,0.371915813509443
45,34,c(38, 39),0.840172428523709
39,14,24,0.53689148590336
38,39,c(34, 37),0.0884596832750509
39,2,c(9, 37),0.0602472893096984
40,39,22,0.267267503202514
41,30,28,0.249557882830737
45,25,23,0.0955826745486665
46,18,c(28, 30),0.614396563507808
20,47,c(28, 30),0.286864390334605
40,46,22,0.954751719500987
21,34,23,0.212993513327766
23,43,13,0.381013430108353
20,48,38,0.120969221056735
12,41,28,0.900990590184296
25,46,23,0.515228786232624
39,42,17,0.687562528781689
43,46,c(44, 30, 47),0.608240878361741
46,14,c(44, 30, 47),0.364360110894945
46,24,14,0.749628080186585
47,9,13,0.322764900750816
46,20,c(28, 30),0.277349472848558
39,23,c(34, 13),0.712378569379707
46,24,14,0.749628080186585
34,4,12,0.291716332640995
39,46,c(44, 30, 47),0.760406407562333
46,18,c(28, 30),0.614396563507808
9,23,13,0.366845509387496
45,34,c(38, 39),0.840172428523709
23,43,13,0.381013430108353
39,2,c(9, 37),0.0602472893096984
46,43,9,0.536158509021851
45,13,c(38, 39),0.630552607351365
40,39,22,0.267267503202514
24,45,c(38, 39),0.91773391423569
33,25,23,0.237166971387151
39,40,22,0.267267503202514
34,46,c(44, 30, 47),0.427890933820992
34,37,2,0.666572454331059
23,2,9,0.448728050596873
33,23,21,0.810253925519345
4,47,12,0.23304988614206
9,48,38,0.179247883458697
45,21,c(13, 23),3.73979736068009e-10
47,20,c(28, 30),0.286864390334605
34,37,2,0.666572454331059
44,47,c(34, 10, 46, 14, 31),0.607269366437938
2,38,9,0.433833207079717
33,25,23,0.237166971387151
4,46,12,7.39392187198984e-06
23,47,c(34, 28),0.26022576562536
39,41,28,0.161575177498423
46,13,23,0.639316594243223
23,9,13,0.366845509387496
13,46,c(44, 30, 47),0.551088670657341
46,29,10,0.95167435957525
37,48,38,0.798024665817381
